Width,Length,Time,Visited Cell Count,Total Cell Count
5,5,6.150453,19,25
5,5,6.150453,0,25
5,5,5.052756,18,25
5,5,5.052756,0,25
5,5,6.042727,21,25
5,5,6.042727,0,25
5,5,0.7123964,11,25
5,5,0.7123964,0,25
5,5,6.879241,24,25
5,5,6.879241,0,25
10,10,30.38846,80,100
10,10,30.38846,0,100
10,10,38.44828,96,100
10,10,38.44828,0,100
10,10,8.214184,36,100
10,10,8.214184,0,100
